"FIPS"	"NAME"	"Qualified Area Name"	"AREALAND"	"AREAWATR"	"Total Population"	"Area Total"	"Area Total: Area (Land)"	"Area Total: Area (Water)"	"% Area Total: Area (Land)"	"% Area Total: Area (Water)"
Geo_geoid_	NAME	qname	AREALAND	AREAWATR	V1T003001	V1T005001	V1T005002	V1T005003	X1T005002	X1T005003
"0110700"	"Albertville, AL Micro Area"	"Albertville, AL Micro Area, Alabama"	1465531833	148495463	97612	623.179443359375	565.8450317382812	57.33441925048828	90.8	9.2
"0110760"	"Alexander City, AL Micro Area"	"Alexander City, AL Micro Area, Alabama"	3541644968	168782127	51698	1432.60400390625	1367.4368896484375	65.16714477539062	95.45	4.55
"0111500"	"Anniston-Oxford, AL Metro Area"	"Anniston-Oxford, AL Metro Area, Alabama"	1569246127	16536293	116441	612.2740478515625	605.8893432617188	6.384698867797852	98.96	1.04
"0112120"	"Atmore, AL Micro Area"	"Atmore, AL Micro Area, Alabama"	2448595161	20024887	36757	953.1395874023438	945.407958984375	7.731652736663818	99.19	0.81
"0112220"	"Auburn-Opelika, AL Metro Area"	"Auburn-Opelika, AL Metro Area, Alabama"	1573528082	21515484	174241	615.8497924804688	607.5426025390625	8.307175636291504	98.65	1.35
"0113820"	"Birmingham-Hoover, AL Metro Area"	"Birmingham-Hoover, AL Metro Area, Alabama"	11625777671	196427036	1115289	4564.5791015625	4488.73828125	75.84090423583984	98.34	1.66
"0117980"	"Columbus, GA-AL Metro Area (part)"	"Columbus, GA-AL Metro Area (part), Alabama"	1660652494	15564412	59183	647.1910400390625	641.1815795898438	6.009453296661377	99.07	0.93
"0118980"	"Cullman, AL Micro Area"	"Cullman, AL Micro Area, Alabama"	1902962812	52533095	87866	755.021240234375	734.7380981445312	20.28314208984375	97.31	2.69
"0119300"	"Daphne-Fairhope-Foley, AL Metro Area"	"Daphne-Fairhope-Foley, AL Metro Area, Alabama"	4117656199	1132956041	231767	2027.2728271484375	1589.8360595703125	437.4367980957031	78.42	21.58
"0119460"	"Decatur, AL Metro Area"	"Decatur, AL Metro Area, Alabama"	3290201795	118878930	156494	1316.2535400390625	1270.3541259765625	45.8994140625	96.51	3.49
"0120020"	"Dothan, AL Metro Area"	"Dothan, AL Metro Area, Alabama"	4444610313	33316633	151007	1728.9375	1716.0738525390625	12.86362361907959	99.26	0.74
"0121460"	"Enterprise, AL Micro Area"	"Enterprise, AL Micro Area, Alabama"	1758565928	3907189	53465	680.4946899414062	678.986083984375	1.50857412815094	99.78	0.22
"0121640"	"Eufaula, AL-GA Micro Area (part)"	"Eufaula, AL-GA Micro Area (part), Alabama"	2292160149	50523213	25223	904.51513671875	885.008056640625	19.507122039794922	97.84	2.16
"0122520"	"Florence-Muscle Shoals, AL Metro Area"	"Florence-Muscle Shoals, AL Metro Area, Alabama"	3265890949	212766741	150791	1343.1173095703125	1260.9676513671875	82.14969635009766	93.88	6.12
"0122840"	"Fort Payne, AL Micro Area"	"Fort Payne, AL Micro Area, Alabama"	2012620262	4107136	71608	778.662841796875	777.0770874023438	1.5857741832733154	99.8	0.2
"0123460"	"Gadsden, AL Metro Area"	"Gadsden, AL Metro Area, Alabama"	1385916770	35022972	103436	548.6279296875	535.10546875	13.522445678710938	97.54	2.46
"0126620"	"Huntsville, AL Metro Area"	"Huntsville, AL Metro Area, Alabama"	3526433514	151096624	491723	1419.90234375	1361.5635986328125	58.3387336730957	95.89	4.11
"0127530"	"Jasper, AL Micro Area"	"Jasper, AL Micro Area, Alabama"	2048757700	36683003	65342	805.1932373046875	791.0298461914062	14.163387298583984	98.24	1.76
"0129300"	"LaGrange, GA-AL Micro Area (part)"	"LaGrange, GA-AL Micro Area (part), Alabama"	1545085601	16971700	34772	603.1137084960938	596.5609130859375	6.552810192108154	98.91	1.09
"0133660"	"Mobile, AL Metro Area"	"Mobile, AL Metro Area, Alabama"	5981777088	1095671201	430197	2732.6181640625	2309.5771484375	423.041015625	84.52	15.48
"0133860"	"Montgomery, AL Metro Area"	"Montgomery, AL Metro Area, Alabama"	7030277546	186443858	386047	2786.391845703125	2714.405517578125	71.98638153076172	97.42	2.58
"0137120"	"Ozark, AL Micro Area"	"Ozark, AL Micro Area, Alabama"	1453276166	4051341	49326	562.6773071289062	561.1130981445312	1.564231514930725	99.72	0.28
"0142460"	"Scottsboro, AL Micro Area"	"Scottsboro, AL Micro Area, Alabama"	2792044654	126334707	52579	1126.7926025390625	1078.0145263671875	48.77810287475586	95.67	4.33
"0142820"	"Selma, AL Micro Area"	"Selma, AL Micro Area, Alabama"	2534919608	39124778	38462	993.8441772460938	978.7379760742188	15.106161117553711	98.48	1.52
"0145180"	"Talladega-Sylacauga, AL Micro Area"	"Talladega-Sylacauga, AL Micro Area, Alabama"	1908346572	60874403	82149	760.3204956054688	736.8167724609375	23.503740310668945	96.91	3.09
"0145980"	"Troy, AL Micro Area"	"Troy, AL Micro Area, Alabama"	1740645369	2339145	33009	672.9701538085938	672.0669555664062	0.9031489491462708	99.87	0.13
"0146220"	"Tuscaloosa, AL Metro Area"	"Tuscaloosa, AL Metro Area, Alabama"	9047524921	167143352	268674	3557.8037109375	3493.269287109375	64.53441619873047	98.19	1.81
"0211260"	"Anchorage, AK Metro Area"	"Anchorage, AK Metro Area, Alaska"	68411338463	2067935177	398328	27212.201171875	26413.767578125	798.4342651367188	97.07	2.93
"0221820"	"Fairbanks, AK Metro Area"	"Fairbanks, AK Metro Area, Alaska"	18997068212	259343323	95655	7434.94189453125	7334.80908203125	100.13302612304688	98.65	1.35
"0227940"	"Juneau, AK Micro Area"	"Juneau, AK Micro Area, Alaska"	7003406836	1426230792	32255	3254.701416015625	2704.030517578125	550.6708374023438	83.08	16.92
"0228540"	"Ketchikan, AK Micro Area"	"Ketchikan, AK Micro Area, Alaska"	12579382524	4651611659	13948	6652.923828125	4856.9267578125	1795.997314453125	73	27
"0422380"	"Flagstaff, AZ Metro Area"	"Flagstaff, AZ Metro Area, Arizona"	48216135399	116631422	145101	18661.384765625	18616.353515625	45.031646728515625	99.76	0.24
"0429420"	"Lake Havasu City-Kingman, AZ Metro Area"	"Lake Havasu City-Kingman, AZ Metro Area, Arizona"	34530024782	333401646	213267	13460.845703125	13332.1181640625	128.7270965576172	99.04	0.96
"0435700"	"Nogales, AZ Micro Area"	"Nogales, AZ Micro Area, Arizona"	3201853240	3068237	47669	1237.4271240234375	1236.242431640625	1.1846529245376587	99.9	0.1
"0437740"	"Payson, AZ Micro Area"	"Payson, AZ Micro Area, Arizona"	12321426494	97108979	53272	4794.82373046875	4757.32958984375	37.493988037109375	99.22	0.78
